Event 0
nTracks 10
3 : 5.60954
4 : 2.52645
5 : 4.05968
6 : 2.99461
7 : 5.37348
8 : 2.54025
9 : 4.45299
Event 11
nTracks 10
0 : 3.76862
1 : 0.811874
2 : 1.881
3 : 2.91773
4 : 1.06037
5 : 5.29538
6 : 3.6964
7 : 5.54516
8 : 2.10768
9 : 3.5041
Event 12
nTracks 10
0 : 1.18462
1 : 1.31797
2 : 0.589947
3 : 3.56101
4 : 4.64019
5 : 3.34629
6 : 2.79243
7 : 1.5513
8 : 4.08461
9 : 4.1796
Event 13
nTracks 10
0 : 5.39046
1 : 3.22807
2 : 3.39054
3 : 5.35774
4 : 5.15798
5 : 2.52368
6 : 5.32706
7 : 4.29901
8 : 5.45297
9 : 4.37688
Event 14
nTracks 10
0 : 4.31045
1 : 5.71955
2 : 0.0288219
3 : 1.40639
4 : 3.92808
5 : 0.513406
6 : 4.06166
7 : 4.8196
8 : 3.68782
9 : 4.778
Event 15
nTracks 10
0 : 5.90857
1 : 1.56244
2 : 5.49657
3 : 2.40725
4 : 3.59906
5 : 5.20028
6 : 5.85484
7 : 5.97974
8 : 5.10276
9 : 3.42122
Event 16
nTracks 10
0 : 5.61441
1 : 3.95363
2 : 5.7658
3 : 1.07616
4 : 6.22223
5 : 4.1957
6 : 6.05581
7 : 1.98154
8 : 2.74117
9 : 0.30782
Event 17
nTracks 10
0 : 1.21316
1 : 5.02805
2 : 1.01049
3 : 2.22415
4 : 5.19063
5 : 5.45337
6 : 2.86607
7 : 2.26806
8 : 2.55245
9 : 5.64935
Event 18
nTracks 10
0 : 3.13639
1 : 4.90521
2 : 5.95843
3 : 1.57132
4 : 0.682566
5 : 1.86722
6 : 1.53647
7 : 1.04271
8 : 5.50578
9 : 2.82588
Event 19
nTracks 10
0 : 2.71809
1 : 1.41464
2 : 5.67137
3 : 4.88952
4 : 1.1786
5 : 2.68832
6 : 3.60184
7 : 2.24484
8 : 1.48488
9 : 3.34595
Event 20
nTracks 10
0 : 6.04724
1 : 2.35349
2 : 3.6203
3 : 2.8697
4 : 5.27485
5 : 5.25977
6 : 2.1168
7 : 3.72108
8 : 3.46726
9 : 3.41795
Event 21
nTracks 10
0 : 0.298939
1 : 3.11245
2 : 1.65107
3 : 0.776561
4 : 1.70771
5 : 3.56607
6 : 5.54963
7 : 3.98604
8 : 5.16241
9 : 4.96041
Event 22
nTracks 10
0 : 3.4996
1 : 5.75445
2 : 2.34772
3 : 0.882761
4 : 3.31039
5 : 0.0222887
6 : 5.75731
7 : 1.56702
8 : 4.49326
9 : 4.21616
Event 23
nTracks 10
0 : 3.6222
1 : 3.48038
2 : 3.79437
3 : 0.81907
4 : 3.46269
5 : 4.21411
6 : 3.45267
7 : 4.30133
8 : 5.60582
9 : 2.36153
Event 24
nTracks 10
0 : 1.45436
1 : 1.03914
2 : 5.75278
3 : 1.66167
4 : 5.91077
5 : 4.6669
6 : 2.00887
7 : 2.83232
8 : 4.35298
9 : 4.93238
Event 25
nTracks 10
0 : 0.273607
1 : 2.54121
2 : 1.31279
3 : 0.559615
4 : 0.0371347
5 : 5.90291
6 : 6.06852
7 : 0.983892
8 : 5.97245
9 : 0.588056
Event 26
nTracks 10
0 : 3.29985
1 : 1.19337
2 : 6.18354
3 : 3.92819
4 : 4.68609
5 : 2.04124
6 : 0.269337
7 : 1.82747
8 : 2.93767
9 : 5.61273
Event 27
nTracks 10
0 : 2.22258
1 : 4.10897
2 : 2.57222
3 : 6.09704
4 : 3.53487
5 : 5.72317
6 : 1.45961
7 : 0.777917
8 : 1.63087
9 : 0.278548
Event 28
nTracks 10
0 : 2.95368
1 : 2.51364
2 : 2.80432
3 : 3.90258
4 : 5.53138
5 : 1.63484
6 : 4.22199
7 : 4.02137
8 : 1.74541
9 : 0.821069
Event 29
nTracks 10
0 : 3.41619
1 : 4.76573
2 : 0.586982
3 : 2.50659
4 : 5.76988
5 : 2.25986
6 : 2.45337
7 : 0.443693
8 : 3.59398
9 : 1.34661
Event 30
nTracks 10
0 : 2.92374
1 : 3.89636
2 : 5.82967
3 : 3.72832
4 : 1.9889
5 : 4.88936
6 : 4.20175
7 : 3.79754
8 : 1.93318
9 : 6.17845
Event 31
nTracks 10
0 : 0.87486
1 : 5.73094
2 : 3.79209
3 : 5.64946
4 : 0.238603
5 : 0.493777
6 : 5.31497
7 : 0.750225
8 : 1.53895
9 : 1.48612
Event 32
nTracks 10
0 : 1.53036
1 : 3.40625
2 : 0.485481
3 : 3.15761
4 : 1.15123
5 : 6.00542
6 : 0.816517
7 : 5.44623
8 : 3.58886
9 : 0.081031
Event 33
nTracks 10
0 : 0.277916
1 : 2.4989
2 : 4.74772
3 : 3.9303
4 : 5.10814
5 : 5.32821
6 : 3.40617
7 : 5.75418
8 : 5.4942
9 : 1.77973
Event 34
nTracks 10
0 : 2.99134
1 : 2.60601
2 : 1.48645
3 : 2.13886
4 : 1.6545
5 : 4.05433
6 : 6.04123
7 : 1.18046
8 : 1.47198
9 : 2.0044
Event 35
nTracks 10
0 : 2.48203
1 : 0.398175
2 : 2.20619
3 : 1.92735
4 : 2.29568
5 : 1.69697
6 : 3.97629
7 : 4.2389
8 : 2.75386
9 : 0.267897
Event 36
nTracks 10
0 : 5.59569
1 : 6.11326
2 : 5.68163
3 : 5.62668
4 : 2.8562
5 : 2.50065
6 : 2.88762
7 : 2.40583
8 : 5.87987
9 : 3.75588
Event 37
nTracks 10
0 : 3.90949
1 : 1.53556
2 : 2.39038
3 : 2.79207
4 : 5.78869
5 : 0.922137
6 : 5.80466
7 : 2.49145
8 : 4.21389
9 : 3.60764
Event 38
nTracks 10
0 : 5.47375
1 : 3.31888
2 : 2.59155
3 : 3.96092
4 : 4.0199
5 : 6.00981
6 : 1.89633
7 : 0.580157
8 : 2.20535
9 : 2.49501
Event 39
nTracks 10
0 : 1.07187
1 : 4.9984
2 : 4.78811
3 : 5.4804
4 : 5.81232
5 : 0.423339
6 : 4.94757
7 : 0.64211
8 : 5.93609
9 : 3.36128
Event 40
nTracks 10
0 : 2.49255
1 : 2.64576
2 : 5.11201
3 : 5.57541
4 : 1.66982
5 : 5.38685
6 : 1.69778
7 : 1.69591
8 : 5.90612
9 : 2.86591
Event 41
nTracks 10
0 : 3.93219
1 : 3.71968
2 : 4.09545
3 : 5.54433
4 : 0.630521
5 : 1.68078
6 : 4.4171
7 : 3.91971
8 : 4.61077
9 : 0.956388
Event 42
nTracks 10
0 : 6.05603
1 : 3.60321
2 : 1.86515
3 : 1.37712
4 : 1.37875
5 : 3.09279
6 : 3.80307
7 : 2.31364
8 : 4.59713
9 : 2.00662
Event 43
nTracks 10
0 : 3.6426
1 : 5.82734
2 : 1.55121
3 : 0.615988
4 : 0.952334
5 : 4.14304
6 : 5.47957
7 : 2.77929
8 : 3.66246
9 : 1.19348
Event 44
nTracks 10
0 : 4.32291
1 : 1.73841
2 : 4.5557
3 : 4.74406
4 : 1.38739
5 : 0.106085
6 : 2.93916
7 : 6.25133
8 : 0.229536
9 : 3.17446
Event 45
nTracks 10
0 : 2.43845
1 : 1.31719
2 : 0.86498
3 : 5.47267
4 : 1.97692
5 : 3.46491
6 : 3.27417
7 : 5.83462
8 : 5.2091
9 : 5.01509
Event 46
nTracks 10
0 : 1.99863
1 : 0.786506
2 : 2.46242
3 : 1.52436
4 : 2.97695
5 : 0.0700704
6 : 2.11167
7 : 3.09432
8 : 0.641383
9 : 2.20736
Event 47
nTracks 10
0 : 4.07562
1 : 0.613124
2 : 2.66369
3 : 1.72051
4 : 2.26319
5 : 2.4383
6 : 2.6553
7 : 2.41868
8 : 5.06118
9 : 5.86482
Event 48
nTracks 10
0 : 0.966729
1 : 2.87297
2 : 4.81362
3 : 1.36237
4 : 2.95114
5 : 3.53742
6 : 6.09969
7 : 2.76883
8 : 0.261982
9 : 5.54067
Event 49
nTracks 10
0 : 4.64433
1 : 2.55518
2 : 3.71048
3 : 5.13717
4 : 3.67118
5 : 0.0664694
6 : 4.00877
7 : 5.60563
8 : 6.13176
9 : 2.60097
Event 50
nTracks 10
0 : 1.94976
1 : 5.33715
2 : 4.11139
3 : 4.7889
4 : 1.31571
5 : 3.50055
6 : 2.23965
7 : 2.11619
8 : 1.90549
9 : 4.8882
Event 51
nTracks 10
0 : 5.26957
1 : 4.59781
2 : 1.99336
3 : 0.502606
4 : 3.81179
5 : 2.1586
6 : 6.11161
7 : 3.13598
8 : 1.59766
9 : 4.6787
Event 52
nTracks 10
0 : 4.74302
1 : 3.37135
2 : 0.106942
3 : 1.89089
4 : 4.51084
5 : 5.54314
6 : 2.41785
7 : 0.519978
8 : 4.40324
9 : 5.54339
Event 53
nTracks 10
0 : 0.943467
1 : 4.38327
2 : 4.71837
3 : 3.08766
4 : 0.0639765
5 : 5.14453
6 : 2.47686
7 : 0.577707
8 : 3.52422
9 : 2.39317
Event 54
nTracks 10
0 : 3.74598
1 : 4.51834
2 : 5.62536
3 : 5.70725
4 : 1.31775
5 : 5.68255
6 : 3.1269
7 : 2.48606
8 : 5.70079
9 : 3.61056
Event 55
nTracks 10
0 : 4.88981
1 : 4.79419
2 : 5.65881
3 : 5.58804
4 : 0.894596
5 : 5.83618
6 : 6.23643
7 : 4.03408
8 : 3.46219
9 : 1.09943
Event 56
nTracks 10
0 : 2.90432
1 : 3.32711
2 : 1.45548
3 : 4.02706
4 : 3.1809
5 : 1.88796
6 : 2.67953
7 : 1.3786
8 : 2.42717
9 : 0.0482114
Event 57
nTracks 10
0 : 0.559671
1 : 5.63416
2 : 3.43445
3 : 5.30432
4 : 1.41293
5 : 4.28727
6 : 5.62423
7 : 4.84653
8 : 1.19809
9 : 0.864885
Event 58
nTracks 10
0 : 5.78806
1 : 5.98595
2 : 0.670167
3 : 0.837556
4 : 3.17361
5 : 5.44698
6 : 0.822724
7 : 0.331996
8 : 5.25806
9 : 0.103425
Event 59
nTracks 10
0 : 4.85744
1 : 5.63486
2 : 0.867694
3 : 5.63543
4 : 3.52626
5 : 3.34611
6 : 3.95208
7 : 3.66217
8 : 5.22494
9 : 1.36787
Event 60
nTracks 10
0 : 2.77537
1 : 3.58695
2 : 1.01483
3 : 1.58033
4 : 1.21955
5 : 1.38107
6 : 5.58511
7 : 2.45023
8 : 5.39961
9 : 6.13847
Event 61
nTracks 10
0 : 0.73871
1 : 5.39017
2 : 3.24386
3 : 1.32341
4 : 2.06689
5 : 2.98615
6 : 1.75652
7 : 4.4933
8 : 3.10626
9 : 5.23028
Event 62
nTracks 10
0 : 5.81868
1 : 4.32634
2 : 3.82785
3 : 0.400316
4 : 2.90008
5 : 3.55025
6 : 1.51903
7 : 6.13865
8 : 5.54177
9 : 4.67033
Event 63
nTracks 10
0 : 2.85989
1 : 5.71707
2 : 6.18332
3 : 1.67505
4 : 1.09093
5 : 6.1317
6 : 4.93541
7 : 4.79259
8 : 0.707276
9 : 6.00122
Event 64
nTracks 10
0 : 1.19553
1 : 2.25395
2 : 2.92894
3 : 2.25922
4 : 3.31815
5 : 1.42488
6 : 0.829239
7 : 5.41944
8 : 3.54841
9 : 3.96572
Event 65
nTracks 10
0 : 0.970561
1 : 4.5388
2 : 1.76385
3 : 3.81058
4 : 1.12303
5 : 3.43427
6 : 4.03407
7 : 2.83203
8 : 0.094195
9 : 1.53904
Event 66
nTracks 10
0 : 4.94687
1 : 3.91575
2 : 3.7679
3 : 4.11237
4 : 0.499703
5 : 4.68466
6 : 3.28504
7 : 4.60827
8 : 2.76444
9 : 3.29241
Event 67
nTracks 10
0 : 1.07621
1 : 2.78137
2 : 4.68033
3 : 3.90259
4 : 6.1831
5 : 0.102359
6 : 2.8507
7 : 3.32818
8 : 2.46181
9 : 2.32937
Event 68
nTracks 10
0 : 3.63978
1 : 6.1696
2 : 2.56668
3 : 4.54509
4 : 0.134023
5 : 0.0390268
6 : 3.95222
7 : 4.77665
8 : 5.45947
9 : 4.81205
Event 69
nTracks 10
0 : 3.58882
1 : 3.25622
2 : 3.71367
3 : 1.93989
4 : 0.0539138
5 : 6.16306
6 : 6.20064
7 : 3.04975
8 : 0.0361457
9 : 6.05986
Event 70
nTracks 10
0 : 5.11888
1 : 4.58984
2 : 0.81938
3 : 3.46114
4 : 4.97355
5 : 2.67828
6 : 0.344273
7 : 6.11371
8 : 3.79943
9 : 1.52647
Event 71
nTracks 10
0 : 2.87785
1 : 1.88998
2 : 4.90631
3 : 3.25223
4 : 3.54413
5 : 1.9867
6 : 5.04613
7 : 4.20947
8 : 5.73105
9 : 5.01249
Event 72
nTracks 10
0 : 0.684523
1 : 2.08589
2 : 3.77651
3 : 1.54976
4 : 3.59856
5 : 0.920001
6 : 5.31901
7 : 2.09748
8 : 0.437235
9 : 2.68763
Event 73
nTracks 10
0 : 0.286772
1 : 5.38939
2 : 4.6487
3 : 6.27855
4 : 1.94035
5 : 4.5258
6 : 2.67223
7 : 2.21868
8 : 4.2641
9 : 6.22132
Event 74
nTracks 10
0 : 6.03335
1 : 3.88416
2 : 2.68272
3 : 3.57258
4 : 0.297214
5 : 3.69342
6 : 3.91807
7 : 2.54894
8 : 3.66082
9 : 0.789615
Event 75
nTracks 10
0 : 3.937
1 : 5.09276
2 : 6.07705
3 : 3.55405
4 : 0.825679
5 : 5.93713
6 : 3.34598
7 : 2.52052
8 : 3.30678
9 : 3.61356
Event 76
nTracks 10
0 : 5.46412
1 : 6.11037
2 : 4.88663
3 : 0.101238
4 : 4.58022
5 : 2.89944
6 : 1.75582
7 : 5.64766
8 : 1.64752
9 : 5.64875
Event 77
nTracks 10
0 : 0.523899
1 : 5.93411
2 : 2.34528
3 : 4.85084
4 : 0.0497352
5 : 5.6427
6 : 4.23349
7 : 0.844852
8 : 2.17827
9 : 0.0037712
Event 78
nTracks 10
0 : 0.239518
1 : 2.94496
2 : 5.71485
3 : 3.94188
4 : 5.74109
5 : 5.40593
6 : 4.47356
7 : 2.26259
8 : 5.70889
9 : 5.95025
Event 79
nTracks 10
0 : 2.32551
1 : 5.38465
2 : 4.79623
3 : 6.01856
4 : 0.846434
5 : 1.50734
6 : 0.645712
7 : 4.8379
8 : 3.40985
9 : 2.52782
Event 80
nTracks 10
0 : 4.67106
1 : 5.56858
2 : 3.01847
3 : 0.530855
4 : 4.59164
5 : 2.51194
6 : 1.08642
7 : 3.01552
8 : 1.00863
9 : 3.07368
Event 81
nTracks 10
0 : 0.611704
1 : 2.56157
2 : 1.56045
3 : 3.21448
4 : 5.95806
5 : 3.21485
6 : 5.0298
7 : 1.51446
8 : 5.14666
9 : 0.208052
Event 82
nTracks 10
0 : 3.51602
1 : 0.833261
2 : 3.78391
3 : 4.31935
4 : 0.122399
5 : 5.58608
6 : 1.22686
7 : 2.06238
8 : 3.15877
9 : 3.75547
Event 83
nTracks 10
0 : 4.89472
1 : 2.50627
2 : 3.71279
3 : 6.24738
4 : 0.259688
5 : 2.25742
6 : 6.06679
7 : 0.779496
8 : 4.5544
9 : 0.718283
Event 84
nTracks 10
0 : 2.36097
1 : 4.13642
2 : 4.46252
3 : 5.79015
4 : 0.161612
5 : 4.1755
6 : 0.414557
7 : 4.5592
8 : 2.51477
9 : 4.54673
Event 85
nTracks 10
0 : 0.130879
1 : 2.059
2 : 3.46346
3 : 0.189899
4 : 5.63623
5 : 5.39995
6 : 3.72111
7 : 2.39725
8 : 0.477001
9 : 5.50902
Event 86
nTracks 10
0 : 2.89217
1 : 6.15915
2 : 4.41404
3 : 3.74048
4 : 0.813563
5 : 5.71631
6 : 4.0527
7 : 5.34561
8 : 4.47765
9 : 4.60015
Event 87
nTracks 10
0 : 4.534
1 : 4.60572
2 : 3.51332
3 : 4.32707
4 : 5.40441
5 : 1.48985
6 : 4.29426
7 : 4.03891
8 : 3.86992
9 : 0.595536
Event 88
nTracks 10
0 : 3.60759
1 : 3.99492
2 : 5.18221
3 : 1.49768
4 : 4.98062
5 : 1.22441
6 : 0.706781
7 : 5.80827
8 : 4.75373
9 : 0.649202
Event 89
nTracks 10
0 : 3.43242
1 : 0.453783
2 : 2.91144
3 : 2.70309
4 : 6.17869
5 : 2.51949
6 : 1.31465
7 : 1.55686
8 : 4.13678
9 : 6.00216
Event 90
nTracks 10
0 : 1.04403
1 : 5.32854
2 : 5.2735
3 : 0.465088
4 : 4.07053
5 : 2.07502
6 : 1.26555
7 : 2.11441
8 : 5.69879
9 : 0.414651
Event 91
nTracks 10
0 : 4.8088
1 : 0.972002
2 : 2.76666
3 : 2.15424
4 : 4.11146
5 : 4.58318
6 : 4.96256
7 : 4.46661
8 : 3.1028
9 : 2.92914
Event 92
nTracks 10
0 : 2.67449
1 : 1.56739
2 : 3.86874
3 : 3.08567
4 : 1.19918
5 : 3.08796
6 : 2.77767
7 : 5.42464
8 : 5.22707
9 : 5.90149
Event 93
nTracks 10
0 : 5.63864
1 : 5.02112
2 : 2.00116
3 : 0.289852
4 : 2.26771
5 : 1.80669
6 : 5.05539
7 : 2.37726
8 : 2.72446
9 : 3.55265
Event 94
nTracks 10
0 : 5.94166
1 : 2.82093
2 : 1.10113
3 : 0.698859
4 : 2.61036
5 : 4.9054
6 : 4.68529
7 : 1.1182
8 : 2.72609
9 : 0.370922
Event 95
nTracks 10
0 : 3.44508
1 : 4.32095
2 : 3.47529
3 : 2.92305
4 : 1.92059
5 : 5.6145
6 : 1.05858
7 : 0.250628
8 : 4.13773
9 : 2.13999
Event 96
nTracks 10
0 : 5.81561
1 : 5.5447
2 : 4.52427
3 : 2.78327
4 : 5.51956
5 : 1.74157
6 : 3.84443
7 : 5.89987
8 : 0.874696
9 : 5.01707
Event 97
nTracks 10
0 : 0.780191
1 : 2.75502
2 : 3.15902
3 : 6.09199
4 : 4.25212
5 : 2.32877
6 : 3.10249
7 : 0.553302
8 : 0.10429
9 : 2.13971
Event 98
nTracks 10
0 : 0.128767
1 : 2.92033
2 : 0.0603288
3 : 5.77772
4 : 0.940887
5 : 4.1027
6 : 1.4518
7 : 4.66688
8 : 2.8004
9 : 2.94695
Event 99
nTracks 10
0 : 2.72314
1 : 1.88987
2 : 5.8113
3 : 1.68568
4 : 4.42846
5 : 2.46518
6 : 0.397086
7 : 5.11708
8 : 5.99965
9 : 0.740089
